"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"3026","Disney Tangled","Wii","2010","Action","Disney Interactive Studios",0.46,0.16,0,0.05,0.67,NA,NA,1,NA,"",""
"3032","Bakugan: Battle Brawlers","Wii","2009","Action","Activision",0.59,0.03,0,0.05,0.66,62,12,71,11,"Now Production","E"
"3035","Skylanders: Trap Team","PS3","2014","Action","Activision",0.26,0.3,0,0.11,0.66,NA,NA,69,5,"Toys for Bob","E10+"
"3036","F1 2015","PS4","2015","Racing","Codemasters",0.09,0.45,0.03,0.1,0.66,65,46,62,43,"Codemasters","E"
"3039","Country Dance","Wii","2011","Misc","Funbox Media",0.58,0.04,0,0.05,0.66,NA,NA,97,NA,"High Voltage Software","E10+"
"3042","The Sims 3: High-End Loft Stuff","PC","2010","Simulation","Electronic Arts",0.01,0.54,0,0.11,0.66,NA,NA,64,17,"The Sims Studio","T"
"3046","Diablo III","XOne","2014","Role-Playing","Activision",0.36,0.24,0,0.06,0.66,NA,NA,1,NA,"",""
"3049","Lalaloopsy","DS","2011","Simulation","Activision",0.51,0.1,0,0.06,0.66,NA,NA,97,NA,"Activision","E"
"3052","Castlevania: Lords of Shadow","X360","2010","Action","Konami Digital Entertainment",0.42,0.17,0.01,0.05,0.66,83,70,77,237,"Mercury Steam","M"
"3053","Hidden Objects: Mystery Stories","DS","2009","Adventure","GSP",0.18,0.43,0,0.05,0.66,NA,NA,1,NA,"",""
"3054","NHL 10","X360","2009","Sports","Electronic Arts",0.51,0.1,0,0.06,0.66,88,52,83,71,"EA Canada","E10+"
"3056","Puzzler Brain Games","Wii","2012","Puzzle","Namco Bandai Games",0,0,0.66,0,0.66,NA,NA,1,NA,"",""
"3062","NHL 13","X360","2012","Sports","Electronic Arts",0.51,0.1,0,0.05,0.66,83,44,65,86,"Electronic Arts","E10+"
"3063","Napoleon: Total War","PC","2010","Strategy","Sega",0.02,0.53,0,0.12,0.66,81,56,78,515,"Creative Assembly","T"
"3064","Metro: Last Light","PS4","2014","Action","Deep Silver",0.22,0.3,0.04,0.1,0.66,NA,NA,1,NA,"",""
"3065","Madden NFL 10","PSP","2009","Sports","Electronic Arts",0.5,0.08,0,0.08,0.66,NA,NA,77,5,"EA Tiburon","E"
"3066","Rayman Legends","WiiU","2013","Platform","Ubisoft",0.25,0.33,0.03,0.05,0.66,92,35,86,465,"Ubisoft Montpellier","E10+"
"3068","BioShock Infinite","PC","2013","Shooter","Take-Two Interactive",0.29,0.3,0,0.07,0.66,94,68,84,7322,"Irrational Games","M"
"3071","Lollipop Chainsaw","PS3","2012","Action","Warner Bros. Interactive Entertainment",0.27,0.2,0.11,0.08,0.66,67,37,70,199,"Grasshopper Manufacture","M"
"3075","Gods Eater Burst","PSP","2010","Action","Namco Bandai Games",0.03,0,0.62,0,0.66,71,30,78,35,"Shift, Bandai Namco Games","T"
"3076","Fist of the North Star: Ken's Rage","PS3","2010","Action","Ubisoft Annecy",0.06,0.03,0.55,0.01,0.66,60,30,68,29,"Koei, Omega Force","M"
"3077","Plants vs. Zombies: Garden Warfare","PS3","2014","Shooter","Electronic Arts",0.22,0.32,0.01,0.11,0.66,NA,NA,77,24,"PopCap","E10+"
"3079","One Piece: Pirate Warriors 2","PS3","2013","Action","Namco Bandai Games",0,0.19,0.42,0.05,0.66,71,35,77,61,"Omega Force","T"
"3085","LEGO Jurassic World","XOne","2015","Action","Warner Bros. Interactive Entertainment",0.38,0.22,0,0.06,0.65,70,17,66,44,"TT Games","E10+"
"3087","Freedom Wars","PSV","2014","Role-Playing","Sony Computer Entertainment",0.15,0.1,0.32,0.08,0.65,73,39,82,265,"Dimps Corporation, SCE Japan Studio","T"
"3088","Rocksmith 2014","PC","2013","Misc","Ubisoft",0.36,0.24,0,0.06,0.65,NA,NA,1,NA,"",""
"3089","Club Penguin: Elite Penguin Force - Herbert's Revenge","DS","2010","Adventure","Disney Interactive Studios",0.39,0.21,0,0.06,0.65,NA,NA,1,NA,"",""
"3090","Ratchet & Clank: Into the Nexus","PS3","2013","Shooter","Sony Computer Entertainment",0.3,0.25,0,0.1,0.65,NA,NA,1,NA,"",""
"3093","The Biggest Loser: Challenge","Wii","2010","Sports","THQ",0.48,0.12,0,0.05,0.65,NA,NA,97,NA,"Blitz Games Studios","E"
"3094","Peppa Pig: Fun and Games","DS","2010","Misc","Ubisoft",0,0.57,0,0.09,0.65,NA,NA,1,NA,"",""
"3103","Mortal Kombat","PSV","2012","Fighting","Warner Bros. Interactive Entertainment",0.42,0.13,0,0.1,0.65,85,51,77,192,"NetherRealm Studios","M"
"3109","The Last Story","Wii","2011","Role-Playing","Nintendo",0.3,0.13,0.18,0.04,0.65,80,61,83,179,"Mistwalker, Artoon","T"
"3115","Toy Story 3: The Video Game","PSP","2010","Action","Disney Interactive Studios",0.27,0.24,0,0.14,0.65,NA,NA,1,NA,"",""
"3119","Disney Infinity 2.0: Marvel Super Heroes","WiiU","2014","Action","Disney Interactive Studios",0.37,0.22,0,0.06,0.65,NA,NA,1,NA,"",""
"3120","Tiger Woods PGA Tour 10","X360","2009","Sports","Electronic Arts",0.39,0.2,0,0.06,0.65,80,51,68,20,"EA Tiburon","E"
"3124","Farming Simulator 17","PC","2016","Simulation","Focus Home Interactive",0.03,0.58,0,0.04,0.65,64,5,79,20,"Giants Software","E"
"3125","Crafting Mama","DS","2010","Simulation","505 Games",0.39,0.19,0.01,0.05,0.65,NA,NA,97,NA,"Cooking Mama Limited","E"
"3127","God of War III","PS4","2015","Action","Sony Computer Entertainment",0.24,0.29,0.01,0.1,0.65,NA,NA,1,NA,"",""
"3128","Borderlands 2","PSV","2014","Shooter","Take-Two Interactive",0.32,0.16,0.01,0.15,0.64,64,31,75,358,"Iron Galaxy Studios","M"
"3129","Harry Potter and the Half-Blood Prince","PS2","2009","Action","Electronic Arts",0.13,0.07,0,0.44,0.64,NA,NA,82,13,"EA Bright Light","E10+"
"3131","Assassin's Creed IV: Black Flag","PC","2013","Action","Ubisoft",0.22,0.38,0,0.05,0.64,84,10,76,1470,"Ubisoft","M"
"3135","The LEGO Movie Videogame","WiiU","2014","Action","Warner Bros. Interactive Entertainment",0.33,0.23,0.03,0.05,0.64,68,5,76,25,"TT Games","E10+"
"3137","Metal Gear Solid V: The Phantom Pain","PS3","2015","Action","Konami Digital Entertainment",0.22,0.13,0.22,0.07,0.64,NA,NA,71,168,"Kojima Productions, Moby Dick Studio","M"
"3138","Drawn to Life: The Next Chapter","DS","2009","Puzzle","THQ",0.44,0.14,0,0.06,0.64,72,21,76,22,"5TH Cell","E"
"3140","WWE 2K15","X360","2014","Sports","Take-Two Interactive",0.38,0.2,0,0.06,0.64,50,5,39,65,"Yuke's","T"
"3150","Rayman 3D","3DS","2011","Platform","Ubisoft",0.23,0.35,0,0.06,0.64,61,39,65,48,"Ubisoft Casablanca","E"
"3151","Football Manager 2014","PC","2013","Sports","Sega",0,0.6,0,0.03,0.64,85,41,54,275,"Sports Interactive","E"
"3155","Sengoku Basara: Samurai Heroes","PS3","2010","Action","Capcom",0.17,0.04,0.4,0.02,0.64,61,37,78,29,"Capcom","T"
"3157","Real Heroes: Firefighter","Wii","2009","Action","Rondomedia",0.56,0.04,0,0.05,0.64,67,18,81,10,"Epicenter Studios","E10+"
"3158","Dishonored 2","PS4","2016","Action","Bethesda Softworks",0.22,0.32,0,0.1,0.64,88,56,76,569,"Arkane Studios","M"
"3159","Up","DS","2009","Action","THQ",0.3,0.27,0,0.07,0.64,NA,NA,97,NA,"Altron","E"
"3162","The Crew","XOne","2014","Racing","Ubisoft",0.25,0.34,0,0.05,0.64,64,18,58,176,"Ubisoft Reflections, Ivory Tower","T"
"3163","Dragon Ball: Raging Blast 2","X360","2010","Fighting","Namco Bandai Games",0.49,0.09,0.01,0.05,0.64,57,33,73,30,"Spike","T"
"3167","NHL 13","PS3","2012","Sports","Electronic Arts",0.33,0.21,0,0.09,0.64,84,22,67,60,"Electronic Arts","E10+"
"3168","Dead or Alive 5","PS3","2012","Fighting","Tecmo Koei",0.23,0.14,0.2,0.07,0.64,74,34,76,109,"Team Ninja","M"
"3169","Evolve","XOne","2015","Shooter","Take-Two Interactive",0.37,0.2,0,0.06,0.64,74,31,50,336,"Turtle Rock Studios","M"
"3174","LittleBigPlanet 3","PS3","2014","Platform","Sony Computer Entertainment",0.2,0.33,0.01,0.1,0.63,NA,NA,71,64,"Sumo Digital","E"
"3175","SingStar Queen","PS2","2009","Misc","Sony Computer Entertainment",0.08,0.12,0,0.44,0.63,73,9,97,NA,"SCEE London Studio","T"
"3177","Disney Sing It: Party Hits","Wii","2010","Misc","Disney Interactive Studios",0.48,0.1,0,0.04,0.63,NA,NA,97,NA,"Disney Interactive Studios","E"
"3178","Dragon Quest Monsters Joker 3","3DS","2016","Role-Playing","Square Enix",0,0,0.63,0,0.63,NA,NA,1,NA,"",""
"3179","Rock Band 3","Wii","2010","Misc","MTV Games",0.53,0.06,0,0.04,0.63,91,10,68,36,"Backbone Entertainment","T"
"3180","Dragon Age II","PC","2011","Action","Electronic Arts",0.23,0.33,0,0.08,0.63,82,45,44,4533,"BioWare","M"
"3185","Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb","3DS","2012","Misc","Namco Bandai Games",0,0,0.63,0,0.63,NA,NA,1,NA,"",""
"3186","The Lord of the Rings: Conquest","X360","2009","Action","Electronic Arts",0.37,0.2,0,0.06,0.63,55,58,69,110,"Pandemic Studios","T"
"3187","Far Cry 4","PC","2014","Shooter","Ubisoft",0.15,0.44,0,0.04,0.63,80,17,66,1064,"Ubisoft Montreal","M"
"3194","White Knight Chronicles II","PS3","2010","Role-Playing","Sony Computer Entertainment",0.23,0.09,0.27,0.04,0.63,60,45,70,64,"Level 5","T"
"3197","Wolfenstein","PS3","2009","Shooter","Activision",0.25,0.27,0,0.11,0.63,71,58,73,77,"id Software, Raven Software","M"
"3198","The Walking Dead: Survival Instinct","X360","2013","Shooter","Activision",0.46,0.11,0,0.05,0.63,32,30,39,410,"Terminal Reality","M"
"3199","The Sims 3: Generations","PC","2011","Simulation","Electronic Arts",0.4,0.23,0,0,0.63,70,22,35,81,"The Sims Studio","T"
"3201","Rocksmith 2014","PS4","2014","Misc","Ubisoft",0.35,0.17,0,0.11,0.63,NA,NA,1,NA,"",""
"3206","Angry Birds Trilogy","3DS","2012","Action","Activision",0.38,0.2,0,0.05,0.63,62,7,45,20,"Exient Entertainment","E"
"3210","Shin Megami Tensei: Persona 3 Portable","PSP","2009","Role-Playing","Ghostlight",0.18,0.06,0.34,0.05,0.63,89,40,82,317,"Atlus","M"
"3213","Crysis 3","PC","2013","Shooter","Electronic Arts",0.17,0.39,0,0.07,0.63,76,47,64,1223,"Crytek","M"
"3215","NHL 16","PS4","2015","Sports","Electronic Arts",0.36,0.16,0,0.11,0.63,78,28,54,157,"EA Sports, EA Canada","E10+"
"3217","Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)","X360","2009","Shooter","Activision",0.34,0.23,0,0.06,0.63,NA,NA,1,NA,"",""
"3220","Ghostbusters: The Video Game","X360","2009","Action","Atari",0.43,0.14,0,0.06,0.63,79,53,84,125,"Terminal Reality","T"
"3221","XCOM: Enemy Unknown","X360","2012","Strategy","Take-Two Interactive",0.36,0.21,0,0.05,0.62,90,35,82,366,"Firaxis Games","M"
"3229","Family Feud: 2010 Edition","Wii","2009","Misc","Ubisoft",0.58,0,0,0.04,0.62,NA,NA,97,NA,"Ludia Inc.","E"
"3231","LEGO Jurassic World","3DS","2015","Action","Warner Bros. Interactive Entertainment",0.31,0.23,0.03,0.05,0.62,NA,NA,71,11,"TT Games","E10+"
"3236","Just Dance 3","PS3","2011","Misc","Ubisoft",0.33,0.2,0,0.09,0.62,75,5,59,7,"Ubisoft","E10+"
"3237","LEGO Pirates of the Caribbean: The Video Game","3DS","2011","Action","Disney Interactive Studios",0.29,0.27,0,0.06,0.62,71,16,72,20,"Traveller's Tales","E10+"
"3239","The Princess and the Frog","DS","2009","Platform","Disney Interactive Studios",0.41,0.16,0,0.05,0.62,NA,NA,97,NA,"Griptonite Games","E"
"3240","Disney Infinity 2.0: Marvel Super Heroes","PS4","2014","Action","Disney Interactive Studios",0.27,0.25,0,0.1,0.62,NA,NA,1,NA,"",""
"3244","Guitar Hero: Metallica","PS3","2009","Misc","Activision",0.28,0.24,0,0.1,0.62,86,44,79,48,"Neversoft Entertainment","T"
"3248","Red Steel 2","Wii","2010","Shooter","Ubisoft",0.35,0.2,0.01,0.06,0.62,80,73,85,178,"Ubisoft Paris","T"
"3251","Mafia III","XOne","2016","Action","Take-Two Interactive",0.28,0.29,0,0.05,0.62,67,20,45,274,"Hangar 13","M"
"3257","Prince of Persia: The Forgotten Sands","X360","2010","Action","Ubisoft",0.3,0.26,0,0.06,0.62,74,69,77,112,"Ubisoft Montreal","T"
"3258","Warriors Orochi 3","PS3","2011","Action","Ubisoft Annecy",0,0.04,0.57,0.01,0.62,70,17,78,35,"Omega Force","T"
"3260","DJ Hero 2","Wii","2010","Misc","Activision",0.48,0.09,0,0.04,0.62,88,20,74,17,"FreeStyleGames","T"
"3261","Toshochu: Run for Money","3DS","2012","Adventure","Namco Bandai Games",0,0,0.62,0,0.62,NA,NA,1,NA,"",""
"3262","Dragon Quest Monsters: Joker 2 Professional","DS","2011","Role-Playing","Square Enix",0,0,0.62,0,0.62,NA,NA,1,NA,"",""
"3265","Tiger Woods PGA Tour 12: The Masters","X360","2011","Sports","Electronic Arts",0.4,0.16,0,0.05,0.62,80,50,60,25,"Electronic Arts","E"
"3266","Battle of Giants: Dragons","DS","2009","Strategy","Ubisoft",0.3,0.25,0,0.06,0.62,NA,NA,59,4,"Ubisoft Quebec","E10+"
"3268","Start the Party!","PS3","2010","Misc","Sony Computer Entertainment",0.07,0.41,0,0.13,0.62,NA,NA,1,NA,"",""
"3270","Harry Potter and the Half-Blood Prince","DS","2009","Action","Electronic Arts",0.2,0.34,0,0.07,0.61,48,9,42,7,"EA Bright Light","E"
"3271","NieR","PS3","2010","Role-Playing","Square Enix",0.17,0.18,0.2,0.07,0.61,68,58,83,263,"Cavia Inc.","M"
"3272","2014 FIFA World Cup Brazil","PS3","2014","Sports","Electronic Arts",0.15,0.36,0.01,0.09,0.61,73,33,42,87,"EA Canada","E"
"3279","Wet","PS3","2009","Shooter","Bethesda Softworks",0.22,0.27,0.01,0.11,0.61,70,61,63,55,"Artificial Mind and Movement","M"
"3280","Cooking Mama 4: Kitchen Magic!","3DS","2011","Simulation","505 Games",0.5,0.07,0,0.05,0.61,56,6,59,7,"Cooking Mama Limited","E"
"3281","Scribblenauts: Unlimited","3DS","2012","Action","Warner Bros. Interactive Entertainment",0.56,0.01,0,0.05,0.61,73,13,73,21,"5TH Cell","E10+"
"3282","The Black Eyed Peas Experience","Wii","2011","Misc","Ubisoft",0.37,0.19,0,0.06,0.61,NA,NA,97,NA,"Ubisoft Quebec","T"
"3285","Plants vs. Zombies: Garden Warfare","PS4","2014","Shooter","Electronic Arts",0.21,0.29,0.01,0.1,0.61,75,23,75,259,"PopCap","E10+"
"3286","Metroid Prime: Trilogy","Wii","2009","Shooter","Nintendo",0.42,0.05,0,0.14,0.61,91,48,92,316,"Retro Studios","T"
"3289","Disney Universe","PS3","2011","Action","Disney Interactive Studios",0.3,0.22,0,0.09,0.61,70,29,68,13,"Eurocom Entertainment Software","E10+"
"3291","Jak and Daxter: The Lost Frontier","PSP","2009","Platform","Sony Computer Entertainment",0.18,0.27,0,0.15,0.61,71,47,62,28,"High Impact Games","E10+"
"3294","WWE SmackDown vs. Raw 2010","PSP","2009","Fighting","THQ",0.25,0.22,0,0.14,0.61,NA,NA,65,8,"Yuke's","T"
"3295","Vanquish","PS3","2010","Shooter","Sega",0.21,0.21,0.11,0.08,0.61,84,61,80,304,"PlatinumGames","M"
"3297","Tearaway","PSV","2013","Adventure","Sony Computer Entertainment Europe",0.14,0.34,0,0.14,0.61,87,82,88,391,"Media Molecule","E"
"3301","Tony Hawk: RIDE","X360","2009","Sports","Activision",0.46,0.1,0,0.05,0.61,46,43,29,67,"Robomodo","E10+"
"3302","Borderlands: The Pre-Sequel","PS3","2014","Shooter","Take-Two Interactive",0.26,0.21,0.05,0.1,0.61,77,24,62,130,"2K Australia","M"
"3304","Sacred 2: Fallen Angel","PS3","2009","Role-Playing","Deep Silver",0.22,0.22,0.08,0.09,0.61,70,45,70,51,"Ascaron Entertainment GmbH, Ascaron Entertainment","M"
"3305","pro evolution soccer 2011","X360","2010","Sports","Konami Digital Entertainment",0.09,0.44,0,0.07,0.61,79,43,58,33,"Konami","E"
"3306","Major League Baseball 2K9","X360","2009","Sports","Spike",0.56,0,0,0.05,0.61,64,29,52,26,"2K Sports","E"
"3308","Dragon Ball Z: Ultimate Tenkaichi","PS3","2011","Fighting","Namco Bandai Games",0.27,0.18,0.09,0.07,0.61,58,26,53,77,"Spike","T"
"3310","Tomb Raider (2013)","XOne","2014","Action","Square Enix",0.35,0.21,0,0.05,0.61,NA,NA,1,NA,"",""
"3319","MySims Racing","DS","2009","Racing","Electronic Arts",0.25,0.29,0,0.07,0.61,67,11,72,4,"EA Games","E"
"3321","Pac-Man Party","Wii","2010","Misc","Namco Bandai Games",0.47,0.08,0.01,0.04,0.61,59,14,58,8,"TOSE","E10+"
"3322","Cabela's Monster Buck Hunter","Wii","2010","Sports","Activision",0.57,0,0,0.03,0.61,NA,NA,97,NA,"FUN Labs","T"
"3324","Dark Souls II","PS4","2015","Role-Playing","Namco Bandai Games",0.21,0.23,0.08,0.09,0.6,NA,NA,1,NA,"",""
"3326","World of Zoo","Wii","2009","Simulation","THQ",0.4,0.15,0,0.05,0.6,NA,NA,81,6,"Blue Fang Games","E"
"3329","Aliens: Colonial Marines","PS3","2013","Shooter","Sega",0.2,0.29,0,0.11,0.6,43,25,35,295,"Gearbox Software","M"
"3331","Yakuza: Dead Souls","PS3","2011","Shooter","Sega",0.09,0.06,0.42,0.03,0.6,64,55,73,69,"Ryu ga Gotoku Studios","M"
"3333","MonHun Nikki: Poka Poka Ailu Mura","PSP","2010","Role-Playing","Capcom",0,0,0.6,0,0.6,NA,NA,1,NA,"",""
"3334","Dead Island: Riptide","PS3","2013","Action","Deep Silver",0.26,0.19,0.07,0.09,0.6,62,25,58,140,"Techland","M"
"3335","Just Dance 2015","X360","2014","Misc","Ubisoft",0.42,0.13,0,0.06,0.6,NA,NA,82,6,"Ubisoft","E10+"
"3336","Kinect Sports Rivals","XOne","2014","Sports","Microsoft Game Studios",0.3,0.23,0.02,0.05,0.6,60,53,50,144,"Microsoft Game Studios","E10+"
"3338","Dynasty Warriors 8","PS3","2013","Action","Tecmo Koei",0.12,0.1,0.34,0.05,0.6,68,26,84,75,"Omega Force","T"
"3340","Disney Infinity","WiiU","2013","Action","Disney Interactive Studios",0.33,0.22,0,0.05,0.6,71,10,75,58,"Avalanche Software","E10+"
"3341","Secret Agent Clank","PS2","2009","Platform","Sony Computer Entertainment",0.13,0.18,0,0.29,0.6,61,9,66,14,"Sanzaru Games","E10+"
"3342","Call of Juarez: Bound in Blood","X360","2009","Shooter","Ubisoft",0.3,0.24,0,0.06,0.6,77,77,75,94,"Techland","M"
"3343","Fighters Uncaged","X360","2010","Fighting","Ubisoft",0.31,0.23,0,0.06,0.6,32,38,45,23,"Ubisoft","T"
"3351","Split/Second","X360","2010","Racing","Disney Interactive Studios",0.32,0.23,0,0.06,0.6,82,78,80,101,"Black Rock Studio","E10+"
"3357","Muramasa: The Demon Blade","Wii","2009","Role-Playing","Rising Star Games",0.32,0.12,0.11,0.04,0.6,81,58,86,101,"Vanillaware","T"
"3359"," Frozen: Olaf's Quest","3DS","2013","Platform","Disney Interactive Studios",0.27,0.27,0,0.05,0.6,NA,NA,1,NA,"",""
"3363","New Play Control! Pikmin 2","Wii","2009","Strategy","Nintendo",0.11,0.13,0.33,0.02,0.6,NA,NA,1,NA,"",""
"3364","LEGO The Hobbit","PS4","2014","Action","Warner Bros. Interactive Entertainment",0.13,0.38,0,0.09,0.6,72,47,65,88,"TT Games","E10+"
"3366","WWE 2K17","PS4","2016","Sports","Take-Two Interactive",0.17,0.34,0,0.09,0.6,69,50,68,88,"Yuke's","T"
"3367","Just Dance 2014","WiiU","2013","Misc","Ubisoft",0.31,0.23,0,0.05,0.6,72,13,75,45,"Ubisoft","E10+"
"3369","Wipeout: The Game","DS","2010","Misc","Activision",0.56,0,0,0.04,0.6,NA,NA,97,NA,"Endemol","E"
"3370","Avatar: The Game","PSP","2009","Action","Ubisoft",0.22,0.24,0,0.14,0.6,NA,NA,1,NA,"",""
"3371","NHL 15","PS4","2014","Sports","Electronic Arts",0.31,0.19,0,0.1,0.6,60,28,35,306,"EA Sports","E10+"
"3372","Total War: Shogun 2","PC","2011","Strategy","Sega",0.19,0.31,0,0.09,0.6,90,62,82,1180,"Creative Assembly","T"
"3376","Dragon Age: Inquisition","PS3","2014","Role-Playing","Electronic Arts",0.27,0.18,0.05,0.09,0.6,NA,NA,51,242,"BioWare","M"
"3378","New Carnival Games","Wii","2010","Misc","Take-Two Interactive",0.33,0.21,0,0.05,0.59,NA,NA,97,NA,"Cat Daddy Games","E"
"3382","FIFA 15","PSV","2014","Sports","Electronic Arts",0.08,0.35,0.05,0.12,0.59,NA,NA,30,42,"EA Sports","E"
"3385","Tony Hawk: RIDE","PS3","2009","Sports","Activision",0.38,0.14,0,0.07,0.59,44,29,20,31,"Robomodo","E10+"
"3393","NHL 11","PS3","2010","Sports","Electronic Arts",0.4,0.12,0,0.07,0.59,88,38,70,54,"Electronic Arts","E10+"
"3394","Yakuza 5","PS3","2012","Action","Sega",0,0,0.59,0,0.59,83,34,84,180,"Ryu ga Gotoku Studios","M"
"3402","WWE 2K16","XOne","2015","Sports","Take-Two Interactive",0.32,0.22,0,0.05,0.59,72,18,56,75,"Yuke's","T"
"3405","Assassin's Creed: Brotherhood","PC","2011","Action","Ubisoft",0.15,0.34,0,0.1,0.59,88,24,81,1102,"Ubisoft Montreal","M"
"3409","Silent Hill: Shattered Memories","PS2","2010","Action","Konami Digital Entertainment",0.13,0.22,0.01,0.23,0.59,77,8,67,82,"Climax Group","M"
"3410","Disney Sing It: Family Hits","Wii","2010","Misc","Disney Interactive Studios",0.38,0.17,0,0.05,0.59,NA,NA,97,NA,"Disney Interactive Studios","E"
"3411","Blur","X360","2010","Racing","Activision",0.25,0.27,0,0.06,0.59,82,78,82,169,"Bizarre Creations","E10+"
"3413","Kane & Lynch 2: Dog Days","PS3","2010","Shooter","Square Enix",0.17,0.27,0.05,0.1,0.59,NA,NA,1,NA,"",""
"3417","Metal Gear Solid V: Ground Zeroes","PS3","2014","Action","Konami Digital Entertainment",0.14,0.12,0.27,0.05,0.59,66,5,58,242,"Kojima Productions","M"
"3423","WarioWare D.I.Y.","DS","2009","Misc","Nintendo",0.17,0.18,0.2,0.04,0.59,82,53,86,39,"Intelligent Systems","E"
"3425","The Fight: Lights Out","PS3","2010","Fighting","Sony Computer Entertainment",0.29,0.21,0,0.09,0.59,48,39,74,77,"Coldwood Interactive","T"
"3427","Deus Ex: Human Revolution","PC","2011","Shooter","Square Enix",0.25,0.25,0,0.08,0.58,90,52,84,3069,"Nixxes Software","M"
"3430","LEGO Indiana Jones 2: The Adventure Continues","PSP","2009","Action","Activision",0.21,0.23,0,0.14,0.58,NA,NA,97,NA,"Traveller's Tales","E10+"
"3431","SoulCalibur V","X360","2012","Fighting","Namco Bandai Games",0.39,0.13,0.02,0.04,0.58,77,56,61,124,"Project Soul","T"
"3438","Game Party in Motion","X360","2010","Misc","Warner Bros. Interactive Entertainment",0.36,0.17,0,0.05,0.58,33,6,36,9,"Farsight Studios","E"
"3440","Call of Duty: Black Ops","DS","2010","Shooter","Activision",0.5,0.04,0,0.04,0.58,74,13,59,54,"n-Space","T"
"3443","Sonic & All-Stars Racing Transformed","X360","2012","Racing","Sega",0.2,0.33,0,0.05,0.58,NA,NA,1,NA,"",""
"3444","MLB 11: The Show","PS3","2011","Sports","Sony Computer Entertainment",0.54,0,0,0.04,0.58,90,30,77,87,"SCEA San Diego Studios","E"
"3445","Jeopardy!","Wii","2010","Misc","THQ",0.55,0,0,0.04,0.58,NA,NA,1,NA,"",""
"3446","Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)","X360","2010","Shooter","Activision",0.38,0.15,0,0.05,0.58,NA,NA,1,NA,"",""
"3447","Kinect Rush: A Disney Pixar Adventure","X360","2012","Adventure","Microsoft Game Studios",0.38,0.15,0,0.05,0.58,68,31,50,15,"Asobo Studio","E"
"3449","Skylanders SWAP Force","WiiU","2013","Platform","Activision",0.38,0.15,0,0.05,0.58,89,7,59,96,"Vicarious Visions","E10+"
"3451","Guitar Hero: Smash Hits","Wii","2009","Misc","Activision",0.31,0.21,0,0.06,0.58,74,17,76,6,"Beenox","T"
"3452","Tom Clancy's HAWX","X360","2009","Action","Ubisoft",0.31,0.19,0.02,0.06,0.58,73,64,72,51,"Ubisoft Romania","T"
"3453","Alice: Madness Returns","PS3","2011","Adventure","Electronic Arts",0.22,0.24,0.04,0.08,0.58,70,51,78,181,"Spicy Horse","M"
"3454","Shin Megami Tensei IV","3DS","2013","Role-Playing","Atlus",0.28,0,0.27,0.03,0.58,83,48,82,251,"Atlus","M"
"3459","NHL 12","PS3","2011","Sports","Electronic Arts",0.36,0.15,0,0.07,0.58,86,33,74,52,"Electronic Arts","E10+"
"3468","FIFA Soccer 10","DS","2009","Sports","Electronic Arts",0.14,0.37,0,0.07,0.58,NA,NA,75,5,"Exient Entertainment","E"
"3469","JoJo's Bizarre Adventure: All Star Battle","PS3","2013","Fighting","Namco Bandai Games",0.05,0.02,0.5,0.01,0.58,71,53,82,55,"CyberConnect2","T"
"3473","Final Fantasy: The 4 Heroes of Light","DS","2009","Role-Playing","Square Enix",0.22,0.1,0.23,0.03,0.58,71,49,70,38,"Matrix Software","E10+"
"3474","Rayman Legends","PS3","2013","Platform","Ubisoft",0.14,0.34,0,0.1,0.58,91,23,86,310,"Ubisoft Montpellier","E10+"
"3476","FIFA Soccer","PSV","2012","Sports","Electronic Arts",0.16,0.32,0.02,0.08,0.58,79,45,71,79,"Electronic Arts","E"
"3485","Pro Evolution Soccer 2015","PS3","2014","Sports","Konami Digital Entertainment",0.1,0.2,0.22,0.06,0.58,NA,NA,77,34,"Konami","E"
"3486","London 2012: The Official Video Game of the Olympic Games","X360","2012","Sports","Sega",0.07,0.44,0,0.07,0.58,NA,NA,1,NA,"",""
"3488","NCAA Football 10","PS2","2009","Sports","Electronic Arts",0.28,0.22,0,0.07,0.58,NA,NA,97,NA,"EA Tiburon","E"
"3489","Phineas and Ferb: Across the 2nd Dimension","Wii","2011","Action","Disney Interactive Studios",0.35,0.18,0,0.05,0.57,76,4,82,6,"High Impact Games","E10+"
"3496","Payday 2","X360","2013","Shooter","505 Games",0.33,0.19,0,0.05,0.57,75,18,62,203,"Overkill Software","M"
"3500","XCOM: Enemy Unknown","PS3","2012","Strategy","Take-Two Interactive",0.24,0.23,0,0.1,0.57,89,20,81,296,"Firaxis Games","M"
"3504","Skylanders: Spyro's Adventure","3DS","2011","Action","Activision",0.32,0.2,0,0.05,0.57,82,8,48,62,"Vicarious Visions","E10+"
"3505","Cabela's Dangerous Hunts 2011","Wii","2010","Sports","Activision",0.52,0.02,0,0.04,0.57,NA,NA,97,NA,"Activision","T"
"3506","The Sims 3: World Adventures","PC","2009","Simulation","Electronic Arts",0.02,0.18,0,0.38,0.57,81,31,79,72,"The Sims Studio","T"
