"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"15919","Emergency 2012","DS","2010","Simulation","Rondomedia",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"15920","Puyo Puyo Tetris","WiiU","2014","Puzzle","Sega",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15923","Kuma no Pooh-San: 100 Acre no Mori no Cooking Book","DS","2011","Misc","Disney Interactive Studios",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15924","Collar x Malice","PSV","2016","Action","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"Otomate",""
"15926","The Dark Hills of Cherai","PC","2009","Puzzle","Unknown",0,0.01,0,0,0.02,NA,NA,97,NA,"ChaYoWo Games",""
"15927","Pirates PlundArrr","Wii","2010","Action","Majesco Entertainment",0.02,0,0,0,0.02,60,5,97,NA,"Boomzap","E10+"
"15929","Dream C Club: GoGo ","PS3","2014","Adventure","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15930","Usavichi: Game no Jikan","DS","2011","Action","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15931","Summer Challenge: Athletics Tournament","Wii","2011","Sports","PQube",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"15932","Battle Spirits: Hero's Soul","PSP","2010","Role-Playing","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15933","Pachi-Slot Higrashi no Naku Koro ni Matsuri","PS2","2010","Misc","Alchemist",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15934","Otona no Renai Shousetsu: Harlequin Selection","DS","2010","Misc","Nintendo",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15935","White Album 2: Shiawase no Mukougawa","PSV","2013","Adventure","Aqua Plus",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
